Dish Name,Sweet,Sour,Salty,Bitter,Umami,Spiciness,Texture - Crunchy,Texture - Soft,Texture - Gooey,Texture - Smooth,Texture - Chewy,Texture - Grainy,Texture - Creamy,Texture - Juicy,Budget,Budget Rating,Allergies,Allergy Rating,Dietary Restrictions,Dietary Restrictions Rating,Protein,Protein Rating,Sensitive Ingredients,Sensitive Ingredients Rating,Cuisine,Cuisine Rating,Innovation,Freshness,Preparation Method,Portion Size,Temperature,Ethical Sourcing,Ethical Rating,Environmental Impact,Seasonality,Popularity Rating,Nutritional Value,Preparation Time,Skill Level Required
Spaghetti Carbonara,4,2,7,2,8,1,0,1,0,1,0,0,1,0,14,3,2,2,8,3,1,4,5,2,1,5,2,4,1,4,1,3,2,3,3,5,3,2,2
Ramen,3,4,7,2,9,4,0,1,0,1,0,0,0,1,13,3,8,4,1,2,5,5,1,2,2,5,4,5,3,4,1,5,4,2,2,5,4,2,3
Falafel,3,3,6,3,7,3,1,1,0,0,0,0,0,1,8,2,6,3,1,2,7,4,6,3,10,4,3,4,2,3,1,4,3,3,3,5,3,2,2
Goulash,3,3,6,2,8,2,0,1,0,1,0,0,0,1,15,3,5,3,1,2,1,5,4,2,5,4,2,4,2,4,1,3,3,3,3,5,3,2,2
Biryani,4,3,7,2,9,6,0,1,0,1,0,0,0,1,14,3,5,4,1,2,2,5,6,3,5,5,3,4,2,4,1,3,3,3,3,5,4,2,2
Tiramisu,8,2,3,3,5,1,0,1,1,1,0,0,1,0,12,4,2,2,3,2,8,2,1,1,4,5,2,4,1,2,1,1,2,2,2,5,2,1,1
Ceviche,5,7,6,2,8,4,0,1,0,1,0,0,0,1,16,4,4,4,1,2,5,4,3,3,3,5,4,5,3,3,2,5,4,2,2,5,4,2,2
Bruschetta,6,4,6,2,7,2,1,1,0,1,0,0,0,1,8,2,2,2,1,2,1,3,5,3,1,4,3,4,1,3,1,2,2,3,3,5,3,1,1
Moussaka,4,3,7,2,8,2,0,1,0,1,0,0,1,1,15,4,2,2,1,2,1,5,4,2,5,4,2,4,2,4,1,3,3,3,3,5,3,2,2
Churros,9,2,5,3,5,1,1,1,0,1,0,0,0,0,7,2,2,2,3,2,8,2,1,1,4,4,2,3,1,2,1,1,2,2,2,5,2,1,1
Beef Stroganoff,4,2,7,2,8,2,0,1,0,1,0,0,1,0,16,4,2,2,1,2,1,5,5,2,1,5,3,4,2,4,1,3,3,3,3,5,3,2,2
Pad Thai,5,5,7,2,9,5,0,1,0,1,0,0,0,1,14,3,6,3,1,2,5,5,6,3,2,5,4,5,3,4,1,5,4,2,2,5,4,2,3
Peking Duck,6,3,7,3,9,3,1,1,0,1,0,0,0,1,18,4,5,3,1,2,2,5,6,2,5,5,3,4,2,4,1,3,3,3,3,5,4,2,2
Ratatouille,5,4,6,3,8,2,0,1,0,1,0,0,0,1,12,3,2,2,1,2,1,7,4,3,1,4,3,4,2,3,1,2,3,3,3,5,3,2,2
Sashimi,3,4,5,2,9,2,0,1,0,1,0,0,0,1,20,4,8,4,1,2,5,5,6,3,2,6,4,5,3,3,2,5,4,2,2,5,4,2,3
Poutine,4,2,8,2,7,2,1,1,0,1,0,0,0,1,10,3,2,2,1,2,8,2,3,2,1,4,2,3,1,4,1,1,2,3,3,5,2,2,2
Baklava,9,3,5,3,6,1,1,1,0,1,0,0,1,0,8,3,2,2,3,2,8,2,1,1,4,5,2,3,1,2,1,1,2,2,2,5,2,1,1
Tacos,5,4,7,2,8,5,1,1,0,1,0,0,0,1,10,3,5,3,1,2,2,4,5,3,3,3,3,4,2,3,1,3,3,3,3,5,3,2,2
Gazpacho,5,6,6,3,8,3,0,1,0,1,0,0,0,1,9,2,4,3,1,2,5,4,3,3,2,5,4,5,3,3,2,5,4,2,2,5,4,2,2
Cannoli,8,2,4,3,6,1,1,1,1,1,0,0,1,0,7,2,2,2,3,2,8,2,1,1,4,5,2,3,1,2,1,1,2,2,2,5,2,1,1
Chicken Parmesan,6,3,7,2,8,3,0,1,0,1,0,0,1,0,15,4,5,3,1,2,2,5,6,2,2,5,3,4,2,4,1,3,3,3,3,5,3,2,2
Miso Soup,3,5,7,2,9,2,0,1,0,1,0,0,0,1,8,2,6,3,1,2,5,5,6,3,2,6,4,5,3,3,1,5,4,2,2,5,4,2,3
Lobster Bisque,4,2,7,2,9,2,0,1,0,1,0,0,1,1,20,4,4,4,1,2,5,5,6,2,5,5,3,4,2,4,1,3,3,3,3,5,4,2,2
Bruschetta,5,5,6,3,8,3,1,1,0,1,0,0,0,1,10,3,2,2,1,2,1,4,4,3,1,5,3,4,2,3,1,2,3,3,3,5,3,2,2
Falafel,4,3,7,3,8,4,1,1,0,1,0,0,0,1,9,3,2,2,1,2,6,4,5,3,2,10,3,4,2,4,1,3,3,3,3,5,3,2,2
Ceviche,5,6,6,2,9,4,1,1,0,1,0,0,0,1,15,4,6,4,1,2,5,5,6,3,2,6,4,5,3,3,2,5,4,2,2,5,4,2,3
Pierogi,4,3,7,2,8,2,1,1,0,1,0,0,0,1,10,3,2,2,1,2,1,4,4,3,1,4,3,4,2,3,1,2,3,3,3,5,3,2,2
Tiramisu,8,3,5,3,7,1,0,1,1,1,0,0,1,0,12,3,2,2,3,2,8,2,1,1,4,5,2,3,1,2,1,1,2,2,2,5,2,1,1
Biryani,5,4,7,3,9,5,0,1,0,1,0,0,0,1,14,4,5,3,1,2,2,5,6,3,3,5,4,5,3,4,1,3,3,3,3,5,4,2,2
Goulash,5,3,7,3,8,4,0,1,0,1,0,0,0,1,13,3,2,2,1,2,1,5,5,2,2,5,3,4,2,4,1,3,3,3,3,5,3,2,2
Beef Wellington,6,2,7,2,9,2,0,1,0,1,0,0,1,0,25,5,2,2,1,2,1,5,5,3,2,1,4,4,1,4,1,3,4,3,3,5,4,2,2
Ratatouille,5,4,6,3,8,2,0,1,0,1,0,0,0,1,12,3,2,2,1,2,8,4,4,3,2,5,3,4,2,3,1,2,3,3,3,5,3,2,2
Sushi Roll,4,5,6,2,9,3,1,1,0,1,0,0,0,1,15,4,6,4,1,2,5,5,6,3,2,6,4,5,3,3,2,1,4,2,2,2,5,4,2
Peking Duck,6,4,7,2,9,3,1,1,0,1,0,0,0,1,20,4,5,3,1,2,5,5,6,2,2,2,4,4,2,4,1,3,3,3,3,5,4,2,2
Pad Thai,5,5,7,2,8,5,1,1,0,1,0,0,0,1,14,3,5,3,1,2,5,5,6,3,2,7,4,5,3,4,1,3,3,3,3,5,4,2,2
Churros,8,3,5,2,6,1,1,1,1,1,0,0,0,1,10,3,2,2,1,2,8,2,1,1,4,5,2,3,1,2,1,1,2,2,2,5,2,1,1
Baklava,9,3,5,2,7,1,1,1,1,1,0,0,0,1,12,3,2,2,1,2,8,2,1,1,4,5,2,3,1,2,1,1,2,2,2,5,2,1,1
Moussaka,5,3,7,3,8,3,0,1,0,1,0,0,1,1,15,4,2,2,1,2,8,5,5,3,2,5,3,4,2,4,1,3,3,3,3,5,3,2,2
Tacos,5,4,7,2,8,5,1,1,0,1,0,0,0,1,10,3,5,3,1,2,6,5,6,3,2,3,4,5,3,4,1,3,3,3,3,5,4,2,2
Pho,4,5,7,2,9,4,0,1,0,1,0,0,0,1,12,3,5,3,1,2,5,5,6,3,2,6,4,5,3,3,2,1,4,2,2,2,5,4,2
